code,name
1104088,Piramedia
1104089,Politeknik Atma Jaya Makassar
1104090,Politeknik Banjarnegara
1104091,Politeknik Elektronika Negeri Institut Teknologi Sepuluh Nopember
1104092,Politeknik Kesehatan Banjarmasin
1104094,Politeknik Madiun
1104095,Politeknik Muhammadiyah Karanganyar
1104096,Politeknik Negeri Ambon
100A1,Politeknik Negeri Bandung
1104097,Politeknik Negeri Banjarmasin
1104098,Politeknik Negeri Jakarta Depok
1104100,Politeknik Negeri Lampung
1104101,Politeknik Negeri Malang
1104103,Politeknik Negeri Papua
1104104,Politeknik Negeri Payakumbuh
1104105,Politeknik Negeri Pontianak
1104106,Politeknik NSC Surabaya
1104107,Politeknik Pertanian Negeri
1104108,Politeknik Pertanian Negeri Kupang
1104109,Politeknik Pertanian Negeri Pangkep
1104111,Politeknik Pertanian Negeri Payakumbuh
1104112,Politeknik Pos Indonesia
1104113,Politeknik Unggulan Sragen Yapenas
1104114,Politeknik Universitas Indonesia
1104115,Politeknis Negeri Malang
1104116,Politiknik Negeri Bali
1104117,POLRI
1104118,Program Studi Biologi Universitas Tanjungpura
1104119,Pusat Penelitian Kebijakan dan Inovasi Pendidikan
1104120,PUSAT PENELITIAN KOPI DAN KAKAO INDONESIA 
1104121,Pusat Pengembangan Geologi Nuklir
1104122,Pusat Studi Agama dan Peradaban
1104123,RS Kanker DHARMAIS 
1104124,Sekolah Tinggi Ilmu Administrasi Pembangunan Jember
1104125,Sekolah Tinggi Ilmu Ekonomi 45
1104126,Sekolah Tinggi Ilmu Ekonomi Adi Unggul Bhirawa
1104128,Sekolah Tinggi Ilmu Ekonomi AMM Mataram
1104129,Sekolah Tinggi Ilmu Ekonomi AUB
1104130,Sekolah TInggi Ilmu EKonomi Gempol
1104131,Sekolah Tinggi Ilmu Ekonomi Indonesia
1104132,Sekolah Tinggi Ilmu Ekonomi Indonesia Banjarmasin
1104134,Sekolah Tinggi Ilmu Ekonomi Malangkucecwara Malang
102A1,Sekolah Tinggi Ilmu Ekonomi Mandala
1104135,Sekolah Tinggi Ilmu Ekonomi Mandala Jember
1104136,Sekolah Tinggi Ilmu Ekonomi Mataram
1104137,Sekolah Tinggi Ilmu Ekonomi Nahdlatul Ulama
1104138,Sekolah Tinggi Ilmu Ekonomi Oemathonis Kupang
1104140,Sekolah Tinggi Ilmu Ekonomi Perbanas Surabaya
1104141,Sekolah Tinggi Ilmu Ekonomi Pontianak
1104142,Sekolah Tinggi Ilmu Ekonomi STIKUBANK
1104143,Sekolah Tinggi Ilmu Ekonomi Swasta Mandiri
1104145,Sekolah Tinggi Ilmu Ekonomi Widya Gama Lumajang
1104146,Sekolah Tinggi Ilmu Ekonomi Widya Mandala
1104148,Sekolah Tinggi Ilmu Ekonomi Wiwaha
1104149,Sekolah Tinggi Ilmu Ekonomi YPP
1104150,Sekolah Tinggi Ilmu Hukum Jenderal Sudirman Lumajang
1104153,Sekolah Tinggi Ilmu Kesehatan Avicenna
1104154,Sekolah Tinggi Ilmu Manajemen
1104155,Sekolah Tinggi Ilmu Sosial dan Ilmu Politik
1104156,Sekolah Tinggi Informatika dan Komputer Indonesia Malang
1104157,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bima
1104158,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Hamzanwadi Selong
1104163,Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI
1104164,Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Banjarmasin
1104165,Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Jombang
1104166,Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Sumatera Barat
1104167,Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Tulungagung
1104168,Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP Hamzanwadi
1104172,Sekolah Tinggi Kesehatan
1104173,Sekolah Tinggi Manajemen dan Ilmu Komputer
1104174,Sekolah Tinggi Manajemen dan Ilmu Komputer Syaikh Zainuddin
1104175,Sekolah Tinggi Manajemen Informasika dan Komputer STMIK Bumigora Mataram
1104176,Sekolah Tinggi Manajemen Informatika dan Komputer Adi Unggul Bhirawa
1104177,Sekolah Tinggi Manajemen Informatika dan Komputer Balikpapan
1104178,Sekolah Tinggi Manajemen Informatika dan Komputer Bina Mulia
1104179,Sekolah Tinggi Manajemen Informatika dan Komputer Bumigora
1104180,Sekolah Tinggi Manajemen Informatika dan Komputer -STMIK-Bumigora Mataram
1104181,Sekolah Tinggi Manajemen Informatika dan Komputer Widya Pratama
1104182,Sekolah Tinggi Manajemen Informatika dan Teknin Komputer
1104183,Sekolah Tinggi Manajemen Informatika Komputer Bali 
1104184,Sekolah Tinggi Manajemen Informatika Komputer Banjarbaru
1104185,Sekolah Tinggi Manajemen Informatika Komputer Uyelindo
1104186,Sekolah Tinggi Pariwisata Trisakti
1104187,Sekolah Tinggi Pertanian
1104188,Sekolah Tinggi Pertanian Dharma Wacana
1104189,Sekolah Tinggi Pertanian Jember
1104190,Sekolah Tinggi Pertanian Surya Dharma
1104191,Sekolah Tinggi Seni Indonesia
1104192,Sekolah Tinggi Seni Indonesia Bandung
1104193,Sekolah Tinggi Seni Indonesia Padangpanjang
1104195,Sekolah Tinggi Seni Indonesia Surakarta
